date_time,temperature,humidity,wind_speed,weather_condition
2024-12-07 00:00:00,12.03,22,1.59,Clouds
2024-12-07 01:00:00,11.86,22,1.74,Clouds
2024-12-07 02:00:00,11.75,22,1.69,Clouds
2024-12-07 03:00:00,11.68,22,1.68,Clouds
2024-12-07 04:00:00,11.7,22,1.63,Clouds
2024-12-07 05:00:00,11.48,22,1.5,Clouds
2024-12-07 06:00:00,11.03,23,1.42,Clouds
2024-12-07 07:00:00,10.59,23,1.28,Clouds
2024-12-07 08:00:00,11.81,23,0.97,Clouds
2024-12-07 09:00:00,14.26,19,0.32,Clouds
2024-12-07 10:00:00,15.97,17,0.76,Clouds
2024-12-07 11:00:00,17.32,16,1.5,Clouds
2024-12-07 12:00:00,18.16,15,2.03,Clouds
2024-12-07 13:00:00,18.74,15,2.19,Clear
2024-12-07 14:00:00,18.93,16,2.1,Clear
2024-12-07 15:00:00,18.8,16,1.79,Clear
2024-12-07 16:00:00,17.96,19,1.44,Clear
2024-12-07 17:00:00,14.38,22,0.96,Clear
2024-12-07 18:00:00,13.42,23,0.21,Clouds
2024-12-07 19:00:00,13.04,24,0.81,Clouds
2024-12-07 20:00:00,12.76,25,1.49,Clouds
2024-12-07 21:00:00,12.65,25,2.06,Clouds
2024-12-07 22:00:00,12.59,26,2.35,Clouds
2024-12-07 23:00:00,12.35,27,2.52,Clouds
2024-12-06 00:00:00,11.01,67,1.8,Clear
2024-12-06 01:00:00,11.81,27,1.55,Clear
2024-12-06 02:00:00,11.57,27,1.86,Clear
2024-12-06 03:00:00,11.25,27,1.73,Clear
2024-12-06 04:00:00,8.79,70,1.47,Clear
2024-12-06 05:00:00,10.7,28,1.64,Clear
2024-12-06 06:00:00,8.79,70,1.81,Clear
2024-12-06 07:00:00,10.11,29,2.12,Clear
2024-12-06 08:00:00,11.74,28,1.83,Clear
2024-12-06 09:00:00,14.96,22,1.53,Clear
2024-12-06 10:00:00,17.24,19,1.88,Clear
2024-12-06 11:00:00,18.88,16,2.55,Clear
2024-12-06 12:00:00,19.87,15,3.19,Clear
2024-12-06 13:00:00,20.29,15,3.7,Clear
2024-12-06 14:00:00,20.33,14,3.68,Clear
2024-12-06 15:00:00,20.0,15,3.42,Clear
2024-12-06 16:00:00,18.6,18,3.2,Clear
2024-12-06 17:00:00,15.0,21,2.92,Clear
2024-12-06 18:00:00,13.8,22,2.59,Clear
2024-12-06 19:00:00,13.21,23,2.4,Clear
2024-12-06 20:00:00,12.9,23,2.21,Clouds
2024-12-06 21:00:00,12.68,23,1.99,Clouds
2024-12-06 22:00:00,12.48,23,1.87,Clouds
2024-12-06 23:00:00,12.24,22,1.69,Clouds
2024-12-05 00:00:00,13.26,27,1.85,Clear
2024-12-05 01:00:00,12.85,27,1.66,Clear
2024-12-05 02:00:00,12.44,27,1.73,Clear
2024-12-05 03:00:00,10.46,74,1.6,Clear
2024-12-05 04:00:00,10.46,73,1.61,Clear
2024-12-05 05:00:00,11.56,28,1.64,Clear
2024-12-05 06:00:00,11.24,28,1.63,Clear
2024-12-05 07:00:00,9.34,76,1.68,Clear
2024-12-05 08:00:00,12.71,27,1.86,Clear
2024-12-05 09:00:00,14.34,65,1.26,Clear
2024-12-05 10:00:00,17.12,56,1.44,Clear
2024-12-05 11:00:00,19.15,18,1.87,Clear
2024-12-05 12:00:00,20.24,17,2.45,Clear
2024-12-05 13:00:00,21.57,39,1.34,Clear
2024-12-05 14:00:00,21.01,36,1.79,Clear
2024-12-05 15:00:00,21.01,32,2.24,Clear
2024-12-05 16:00:00,19.36,20,2.59,Clear
2024-12-05 17:00:00,15.78,22,2.23,Clear
2024-12-05 18:00:00,14.61,23,1.8,Clear
2024-12-05 19:00:00,16.01,44,0.45,Clear
