temperature,humidity,wind_speed,weather_condition,day_of_week,month,hour,day
14.34,77.0,1.88,1,0,11,0,25
13.79,78.0,0.45,1,0,11,1,25
13.79,79.0,1.88,1,0,11,2,25
13.23,81.0,1.93,0,0,11,3,25
12.68,82.0,1.77,0,0,11,4,25
12.12,82.0,1.75,0,0,11,5,25
11.57,83.0,1.69,0,0,11,6,25
11.57,82.0,0.45,1,0,11,7,25
12.68,81.0,1.62,0,0,11,8,25
16.57,69.0,1.57,0,0,11,9,25
18.79,61.0,1.67,0,0,11,10,25
21.01,55.0,2.16,0,0,11,11,25
22.68,49.0,2.65,0,0,11,12,25
23.23,44.0,1.79,0,0,11,13,25
23.23,42.0,2.24,0,0,11,14,25
23.79,42.0,0.89,0,0,11,15,25
22.12,42.0,1.34,0,0,11,16,25
20.46,45.0,0.89,0,0,11,17,25
18.79,50.0,0.45,0,0,11,18,25
17.12,52.0,2.31,0,0,11,19,25
16.57,54.0,2.23,0,0,11,20,25
15.46,59.0,2.04,0,0,11,21,25
14.9,60.0,1.96,1,0,11,22,25
14.34,69.0,1.81,1,0,11,23,25
16.57,70.0,0.45,1,6,11,0,24
16.57,73.0,0.45,1,6,11,1,24
16.57,71.0,0.89,1,6,11,2,24
14.9,76.0,2.65,1,6,11,3,24
14.9,77.0,2.55,1,6,11,4,24
13.79,82.0,2.42,0,6,11,5,24
13.23,85.0,2.25,0,6,11,6,24
13.79,80.0,2.08,0,6,11,7,24
14.9,78.0,0.89,0,6,11,8,24
17.12,67.0,1.6,0,6,11,9,24
19.34,61.0,1.73,0,6,11,10,24
21.01,56.0,0.89,0,6,11,11,24
21.57,56.0,1.34,0,6,11,12,24
23.23,48.0,0.45,0,6,11,13,24
23.79,48.0,1.34,0,6,11,14,24
23.23,50.0,1.34,0,6,11,15,24
22.12,55.0,0.89,0,6,11,16,24
19.9,60.0,1.34,0,6,11,17,24
18.79,61.0,0.89,0,6,11,18,24
18.23,63.0,0.89,0,6,11,19,24
17.68,64.0,0.45,0,6,11,20,24
16.57,68.0,0.45,0,6,11,21,24
16.01,69.0,2.05,0,6,11,22,24
14.9,73.0,1.9,1,6,11,23,24
15.99,32.0,2.41,0,5,11,0,23
15.72,31.0,2.41,0,5,11,1,23
15.62,31.0,2.34,1,5,11,2,23
15.32,31.0,2.13,1,5,11,3,23
15.02,32.0,1.77,1,5,11,4,23
15.3,31.0,1.75,1,5,11,5,23
15.28,32.0,1.44,1,5,11,6,23
14.72,37.0,1.58,1,5,11,7,23
16.55,37.0,1.41,1,5,11,8,23
18.59,31.0,0.75,1,5,11,9,23
20.03,28.0,1.13,1,5,11,10,23
20.93,27.0,0.28,1,5,11,11,23
21.53,26.0,1.48,1,5,11,12,23
22.16,25.0,2.22,1,5,11,13,23
22.24,25.0,2.05,1,5,11,14,23
22.18,25.0,1.85,1,5,11,15,23
21.5,28.0,1.63,1,5,11,16,23
18.68,32.0,0.61,1,5,11,17,23
17.85,35.0,0.8,1,5,11,18,23
17.38,38.0,1.72,1,5,11,19,23
17.68,74.0,1.43,1,5,11,20,23
17.12,76.0,2.12,1,5,11,21,23
17.12,72.0,2.24,1,5,11,22,23
16.57,73.0,1.34,1,5,11,23,23
13.79,74.0,1.93,0,4,11,0,22
13.23,75.0,2.0,0,4,11,1,22
12.68,75.0,2.33,0,4,11,2,22
12.12,77.0,2.33,0,4,11,3,22
12.12,78.0,2.12,0,4,11,4,22
11.57,79.0,1.92,0,4,11,5,22
11.57,79.0,1.67,0,4,11,6,22
11.01,80.0,1.88,0,4,11,7,22
16.53,26.0,1.51,0,4,11,8,22
16.01,67.0,0.7,0,4,11,9,22
18.23,59.0,0.45,0,4,11,10,22
21.01,49.0,0.45,0,4,11,11,22
22.12,51.0,0.89,0,4,11,12,22
23.23,47.0,0.45,0,4,11,13,22
23.79,45.0,0.45,0,4,11,14,22
23.23,46.0,0.45,0,4,11,15,22
22.86,23.0,2.04,0,4,11,16,22
19.28,28.0,1.6,0,4,11,17,22
18.25,29.0,1.33,0,4,11,18,22
17.73,30.0,1.62,0,4,11,19,22
17.2,31.0,2.02,0,4,11,20,22
16.84,32.0,2.28,0,4,11,21,22
16.62,32.0,2.56,0,4,11,22,22
16.31,32.0,2.57,0,4,11,23,22
15.58,27.0,2.52,0,3,11,0,21
15.3,28.0,2.33,0,3,11,1,21
12.68,74.0,0.45,0,3,11,2,21
12.12,75.0,0.89,0,3,11,3,21
12.12,75.0,0.45,0,3,11,4,21
11.57,76.0,0.89,0,3,11,5,21
11.57,77.0,1.64,0,3,11,6,21
11.01,77.0,1.78,0,3,11,7,21
16.26,28.0,1.5,0,3,11,8,21
16.57,59.0,1.09,0,3,11,9,21
19.34,51.0,0.45,0,3,11,10,21
20.46,50.0,1.79,0,3,11,11,21
22.68,43.0,0.89,0,3,11,12,21
24.34,37.0,1.34,0,3,11,13,21
24.34,37.0,1.79,0,3,11,14,21
23.79,38.0,1.34,0,3,11,15,21
22.68,42.0,1.34,0,3,11,16,21
21.01,48.0,2.17,0,3,11,17,21
19.34,50.0,1.51,0,3,11,18,21
18.23,55.0,1.5,0,3,11,19,21
16.57,62.0,1.63,0,3,11,20,21
15.46,68.0,0.45,0,3,11,21,21
14.9,71.0,1.94,0,3,11,22,21
14.34,72.0,1.96,0,3,11,23,21
